순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
384,손현기,키움,투수,6,2,14 1/3,0,0,0,0,0,-,0,0,0,-
384,송성문,키움,2루수,6,6,50 2/3,0,0,9,11,2,1.000,0,0,0,-
384,예진원,키움,좌익수,6,1,19,0,0,7,0,0,1.000,0,0,0,-
384,이용규,키움,중견수,6,5,40,0,0,8,0,0,1.000,0,0,0,-
384,이주형,키움,중견수,6,5,42,0,0,13,0,0,1.000,0,0,0,-
425,김현수,LG,1루수,5,0,8,0,0,7,0,1,1.000,0,0,0,-
425,김민혁,KT,우익수,5,2,16 1/3,0,0,0,0,0,-,0,0,0,-
425,오윤석,KT,3루수,5,1,13,0,0,0,2,0,1.000,0,0,0,-
425,이호연,KT,2루수,5,0,10,0,0,2,2,0,1.000,0,0,0,-
425,한차현,KT,투수,5,1,8,0,0,1,1,0,1.000,0,0,0,-
425,김민식,SSG,포수,5,4,34,0,0,31,2,0,1.000,0,4,1,20.0
425,서진용,SSG,투수,5,0,4,0,0,0,0,0,-,0,0,0,-
425,추신수,SSG,우익수,5,5,34,0,0,6,0,0,1.000,0,0,0,-
425,김세훈,NC,유격수,5,0,8 1/3,0,0,3,0,0,1.000,0,0,0,-
425,전사민,NC,투수,5,0,5 2/3,0,0,1,1,0,1.000,0,0,0,-
425,김태근,두산,좌익수,5,3,30 2/3,0,0,8,0,0,1.000,0,0,0,-
425,김태근,두산,중견수,5,1,17,0,0,3,0,0,1.000,0,0,0,-
425,김태근,두산,우익수,5,0,9,0,0,3,0,0,1.000,0,0,0,-
425,김규성,KIA,유격수,5,0,11 2/3,1,0,4,3,0,0.875,0,0,0,-
425,김대유,KIA,투수,5,0,2 2/3,0,0,0,0,0,-,0,0,0,-
425,장두성,롯데,좌익수,5,1,15,0,0,3,0,0,1.000,0,0,0,-
425,정우준,롯데,투수,5,0,5,0,0,0,1,0,1.000,0,0,0,-
425,류지혁,삼성,1루수,5,1,11,0,0,4,0,0,1.000,0,0,0,-
425,윤대경,한화,투수,5,0,5 2/3,0,0,0,0,0,-,0,0,0,-
425,김연주,키움,투수,5,0,3 1/3,0,0,0,1,0,1.000,0,0,0,-
425,예진원,키움,우익수,5,1,16 2/3,0,0,9,0,0,1.000,0,0,0,-
425,임병욱,키움,중견수,5,5,35,0,0,10,0,0,1.000,0,0,0,-
447,김현종,LG,중견수,4,0,9,0,0,3,0,0,1.000,0,0,0,-
447,최원영,LG,좌익수,4,0,11,0,0,2,0,0,1.000,0,0,0,-
447,김병준,KT,우익수,4,0,8,0,0,3,0,0,1.000,0,0,0,-
447,전용주,KT,투수,4,0,1 2/3,0,0,0,0,0,-,0,0,0,-
447,정준영,KT,좌익수,4,0,6,0,0,0,0,0,-,0,0,0,-
447,오태곤,SSG,좌익수,4,1,10 2/3,0,0,3,0,0,1.000,0,0,0,-
447,오태곤,SSG,중견수,4,2,17,0,0,3,0,0,1.000,0,0,0,-
447,정준재,SSG,2루수,4,4,22 1/3,0,0,4,11,1,1.000,0,0,0,-
447,박영빈,NC,좌익수,4,0,8,0,0,1,0,0,1.000,0,0,0,-
447,손아섭,NC,좌익수,4,4,30,0,0,7,0,0,1.000,0,0,0,-
447,김현수,KIA,투수,4,0,4 1/3,0,0,0,0,0,-,0,0,0,-
447,박준표,KIA,투수,4,0,2,0,0,0,0,0,-,0,0,0,-
447,소크라테스,KIA,우익수,4,1,11,1,0,4,0,0,0.800,0,0,0,-
447,고승민,롯데,1루수,4,0,9,0,0,9,1,1,1.000,0,0,0,-
447,오선진,롯데,3루수,4,1,14,0,0,0,4,0,1.000,0,0,0,-
447,김동진,삼성,3루수,4,1,13,0,0,1,2,1,1.000,0,0,0,-
447,김재혁,삼성,중견수,4,0,11,0,0,2,0,0,1.000,0,0,0,-
447,김재혁,삼성,1루수,4,4,31,0,0,21,4,4,1.000,0,0,0,-
447,김호진,삼성,유격수,4,1,14,0,0,1,0,0,1.000,0,0,0,-
447,류승민,삼성,우익수,4,0,7,0,0,3,0,0,1.000,0,0,0,-
447,이상민,삼성,투수,4,0,5,0,0,0,0,0,-,0,0,0,-
447,이성규,삼성,좌익수,4,2,15,0,0,7,0,0,1.000,0,0,0,-
447,정은원,한화,2루수,4,4,31,0,0,6,10,4,1.000,0,0,0,-
447,김건희,키움,포수,4,4,24,1,0,11,1,0,0.923,0,4,1,20.0
447,박준형,키움,포수,4,2,12 1/3,0,0,7,0,1,1.000,1,2,0,0.0
447,이종민,키움,투수,4,4,18 2/3,0,0,2,2,0,1.000,0,0,0,-
473,전준호,LG,포수,3,0,5,0,0,4,1,0,1.000,0,0,0,-
473,진우영,LG,투수,3,0,4 2/3,0,0,0,0,0,-,0,0,0,-
473,강건,KT,투수,3,0,2 2/3,0,0,0,0,0,-,0,0,0,-
473,강백호,KT,우익수,3,1,11,0,0,2,0,0,1.000,0,0,0,-
473,김병준,KT,좌익수,3,0,4,0,0,1,0,0,1.000,0,0,0,-
473,김영현,KT,투수,3,0,3 1/3,1,0,0,0,0,0.000,0,0,0,-
473,박경수,KT,2루수,3,0,3 1/3,0,0,1,1,1,1.000,0,0,0,-
473,송민섭,KT,우익수,3,0,4,0,0,0,0,0,-,0,0,0,-
473,홍현빈,KT,중견수,3,1,10,0,0,1,0,0,1.000,0,0,0,-
473,황재균,KT,유격수,3,0,3,0,0,0,0,0,-,0,0,0,-
473,앤더슨,SSG,투수,3,3,10,0,0,1,0,0,1.000,0,0,0,-
473,최경모,SSG,유격수,3,0,4,0,0,0,0,0,-,0,0,0,-
473,김수윤,NC,1루수,3,0,12,0,0,9,1,1,1.000,0,0,0,-
473,박한결,NC,좌익수,3,2,14 1/3,1,0,1,0,0,0.500,0,0,0,-
473,신영우,NC,투수,3,1,9 1/3,0,0,1,1,0,1.000,0,0,0,-
473,채원후,NC,투수,3,0,3,0,0,0,0,0,-,0,0,0,-
473,한석현,NC,우익수,3,0,6,0,0,0,0,0,-,0,0,0,-
473,한석현,NC,좌익수,3,0,7,0,0,2,0,0,1.000,0,0,0,-
473,김유성,두산,투수,3,3,9 1/3,0,0,0,0,0,-,0,0,0,-
473,박계범,두산,유격수,3,2,19,2,0,1,10,0,0.846,0,0,0,-
473,윤준호,두산,포수,3,0,9,0,0,5,0,0,1.000,0,0,0,-
473,전민재,두산,2루수,3,2,20,2,0,4,7,3,0.846,0,0,0,-
473,박정우,KIA,좌익수,3,0,2 1/3,0,0,0,0,0,-,0,0,0,-
473,변우혁,KIA,1루수,3,3,24,0,0,23,1,3,1.000,0,0,0,-
473,이의리,KIA,투수,3,3,10 1/3,1,0,1,1,0,0.667,0,0,0,-
473,한승택,KIA,포수,3,0,8,1,0,8,1,0,0.900,0,0,0,-
473,김민성,롯데,2루수,3,2,12,0,0,1,7,1,1.000,0,0,0,-
473,노진혁,롯데,3루수,3,2,16,0,0,0,2,1,1.000,0,0,0,-
473,오선진,롯데,2루수,3,2,16,0,0,1,5,0,1.000,0,0,0,-
473,이주찬,롯데,유격수,3,0,5,0,0,1,3,1,1.000,0,0,0,-
473,이학주,롯데,3루수,3,2,5 2/3,0,0,0,0,0,-,0,0,0,-
473,강한울,삼성,유격수,3,0,3,0,0,1,0,0,1.000,0,0,0,-
473,김태훈,삼성,우익수,3,2,15,0,0,5,0,0,1.000,0,0,0,-
473,김헌곤,삼성,중견수,3,1,10,0,0,0,0,0,-,0,0,0,-
473,육선엽,삼성,투수,3,0,4 2/3,0,0,2,0,0,1.000,0,0,0,-
473,이재익,삼성,투수,3,0,2 2/3,0,0,0,0,0,-,0,0,0,-
473,홍원표,삼성,투수,3,0,4,0,0,1,1,0,1.000,0,0,0,-
473,김민우,한화,투수,3,3,12 1/3,0,0,0,0,0,-,0,0,0,-
473,이원석,한화,우익수,3,0,5,0,0,3,0,0,1.000,0,0,0,-
473,이충호,한화,투수,3,0,2 1/3,0,0,0,0,0,-,0,0,0,-
473,조동욱,한화,투수,3,3,12 2/3,0,0,1,2,0,1.000,0,0,0,-
473,채은성,한화,우익수,3,3,26,0,0,10,0,0,1.000,0,0,0,-
473,김주형,키움,유격수,3,1,10,0,0,1,1,0,1.000,0,0,0,-
473,오석주,키움,투수,3,0,5,0,0,0,2,0,1.000,0,0,0,-
473,이명종,키움,투수,3,0,3 2/3,0,0,0,0,0,-,0,0,0,-
518,김주성,LG,3루수,2,0,4,0,0,0,2,0,1.000,0,0,0,-
518,김태우,LG,2루수,2,0,4,1,0,1,3,2,0.800,0,0,0,-
518,김현종,LG,좌익수,2,0,3,0,0,0,0,0,-,0,0,0,-
518,안익훈,LG,좌익수,2,0,4,0,0,1,0,0,1.000,0,0,0,-
518,최원영,LG,중견수,2,0,4,0,0,2,0,0,1.000,0,0,0,-
518,최원영,LG,우익수,2,0,3,0,0,0,0,0,-,0,0,0,-
518,고영표,KT,투수,2,2,10,0,0,0,0,0,-,0,0,0,-
518,송민섭,KT,중견수,2,0,5,0,0,2,0,0,1.000,0,0,0,-
518,신본기,KT,3루수,2,0,3,0,0,0,1,0,1.000,0,0,0,-
518,안치영,KT,좌익수,2,0,2,0,0,0,0,0,-,0,0,0,-
518,정준영,KT,중견수,2,1,7,0,0,3,0,0,1.000,0,0,0,-
518,천성호,KT,3루수,2,0,3,0,0,0,0,0,-,0,0,0,-
518,김주온,SSG,투수,2,0,4 2/3,0,0,1,1,0,1.000,0,0,0,-
518,김찬형,SSG,2루수,2,1,11,0,0,4,1,0,1.000,0,0,0,-
518,김찬형,SSG,3루수,2,1,10,0,0,0,3,0,1.000,0,0,0,-
518,박시후,SSG,투수,2,0,3,0,0,0,1,0,1.000,0,0,0,-
518,오태곤,SSG,3루수,2,0,5,0,0,0,2,0,1.000,0,0,0,-
518,정준재,SSG,3루수,2,0,3,0,0,0,0,0,-,0,0,0,-
518,최준우,SSG,3루수,2,0,4,0,0,1,0,0,1.000,0,0,0,-
518,한유섬,SSG,좌익수,2,2,10,1,0,1,0,0,0.500,0,0,0,-
518,김한별,NC,3루수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
518,이용준,NC,투수,2,2,6,0,0,0,0,0,-,0,0,0,-
518,김대한,두산,중견수,2,0,5,0,0,1,0,0,1.000,0,0,0,-
518,안승한,두산,포수,2,1,9 1/3,0,0,7,0,0,1.000,0,1,0,0.0
518,이유찬,두산,유격수,2,1,7,0,0,2,4,1,1.000,0,0,0,-
518,홍성호,두산,1루수,2,0,4,0,0,4,0,2,1.000,0,0,0,-
518,홍성호,두산,우익수,2,0,4,0,0,0,0,0,-,0,0,0,-
518,김민재,KIA,투수,2,0,2,0,0,0,0,0,-,0,0,0,-
518,김선빈,KIA,유격수,2,0,3,0,0,1,2,0,1.000,0,0,0,-
518,유승철,KIA,투수,2,0,2,0,0,0,0,0,-,0,0,0,-
518,임기영,KIA,투수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
518,황대인,KIA,1루수,2,2,10,0,0,9,1,1,1.000,0,0,0,-
518,고승민,롯데,우익수,2,1,10,0,0,3,0,0,1.000,0,0,0,-
518,김도규,롯데,투수,2,0,2,0,0,0,0,0,-,0,0,0,-
518,김민석,롯데,중견수,2,2,16 1/3,0,0,8,0,0,1.000,0,0,0,-
518,노진혁,롯데,1루수,2,1,9,1,0,9,1,2,0.909,0,0,0,-
518,서동욱,롯데,포수,2,0,5,0,0,4,1,1,1.000,0,0,1,100
518,정대선,롯데,2루수,2,0,4,0,0,2,3,1,1.000,0,0,0,-
518,정훈,롯데,3루수,2,1,11,0,0,1,5,0,1.000,0,0,0,-
518,최항,롯데,3루수,2,0,3,0,0,0,1,0,1.000,0,0,0,-
518,현도훈,롯데,투수,2,0,3,0,0,0,0,0,-,0,0,0,-
518,홍민기,롯데,투수,2,1,3 1/3,0,0,0,0,0,-,0,0,0,-
518,황성빈,롯데,우익수,2,0,4,0,0,1,0,0,1.000,0,0,0,-
518,공민규,삼성,1루수,2,0,5,0,0,5,2,0,1.000,0,0,0,-
518,김동진,삼성,2루수,2,1,6,0,0,1,1,0,1.000,0,0,0,-
518,김재상,삼성,3루수,2,0,3,0,0,0,1,0,1.000,0,0,0,-
518,김태훈,삼성,좌익수,2,0,3 2/3,0,0,0,0,0,-,0,0,0,-
518,김현준,삼성,좌익수,2,2,12 1/3,0,0,1,0,0,1.000,0,0,0,-
518,백정현,삼성,투수,2,2,8 1/3,0,0,2,2,1,1.000,0,0,0,-
518,안주형,삼성,3루수,2,0,3,0,0,1,2,0,1.000,0,0,0,-
518,장진혁,한화,우익수,2,0,2,0,0,0,0,0,-,0,0,0,-
518,김동규,키움,투수,2,0,1/3,0,0,0,0,0,-,0,0,0,-
518,김동헌,키움,포수,2,2,14,1,0,10,0,0,0.909,0,6,0,0.0
518,김태진,키움,우익수,2,0,6,0,0,0,0,0,-,0,0,0,-
518,김태진,키움,2루수,2,1,11,1,0,2,4,0,0.857,0,0,0,-
518,이승원,키움,유격수,2,1,9,1,0,3,3,1,0.857,0,0,0,-
518,조영건,키움,투수,2,0,5 1/3,0,0,0,2,0,1.000,0,0,0,-
518,주성원,키움,좌익수,2,2,16,0,0,5,0,0,1.000,0,0,0,-
576,강효종,LG,투수,1,1,1 1/3,0,0,0,0,0,-,0,0,0,-
576,김윤식,LG,투수,1,1,3,0,0,0,0,0,-,0,0,0,-
576,김태우,LG,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-
576,문성주,LG,중견수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
576,성동현,LG,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,안익훈,LG,중견수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
576,안익훈,LG,우익수,1,1,9,0,0,3,0,0,1.000,0,0,0,-
576,정지헌,LG,투수,1,0,2/3,0,0,0,0,0,-,0,0,0,-
576,최승민,LG,우익수,1,0,2,0,0,0,0,0,-,0,0,0,-
576,박세진,KT,투수,1,0,2/3,0,0,0,0,0,-,0,0,0,-
576,오윤석,KT,1루수,1,0,1,0,0,2,0,1,1.000,0,0,0,-
576,홍현빈,KT,우익수,1,0,2,0,0,0,0,0,-,0,0,0,-
576,황재균,KT,1루수,1,0,1,0,0,2,0,0,1.000,0,0,0,-
576,강진성,SSG,1루수,1,1,8,0,0,6,1,1,1.000,0,0,0,-
576,강진성,SSG,좌익수,1,0,3,0,0,1,0,0,1.000,0,0,0,-
576,고명준,SSG,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,김찬형,SSG,유격수,1,0,3,0,0,2,0,0,1.000,0,0,0,-
576,김창평,SSG,우익수,1,1,4,0,0,3,0,0,1.000,0,0,0,-
576,정준재,SSG,유격수,1,0,2,0,0,0,1,0,1.000,0,0,0,-
576,최현석,SSG,투수,1,0,0,0,0,0,0,0,-,0,0,0,-
576,하재훈,SSG,중견수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
576,권희동,NC,중견수,1,1,5 1/3,0,0,3,0,0,1.000,0,0,0,-
576,권희동,NC,우익수,1,1,7,0,0,0,0,0,-,0,0,0,-
576,김세훈,NC,2루수,1,1,7,0,0,1,0,0,1.000,0,0,0,-
576,김수윤,NC,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-
576,도태훈,NC,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,최우석,NC,투수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
576,한석현,NC,중견수,1,1,9,0,0,1,0,0,1.000,0,0,0,-
576,김민혁,두산,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,김인태,두산,우익수,1,1,6,0,0,2,0,0,1.000,0,0,0,-
576,박계범,두산,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,박소준,두산,투수,1,1,4,0,0,0,0,0,-,0,0,0,-
576,박준영,두산,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,서예일,두산,유격수,1,0,1,0,0,0,1,0,1.000,0,0,0,-
576,전다민,두산,중견수,1,0,2,0,0,0,0,0,-,0,0,0,-
576,최종인,두산,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,김규성,KIA,3루수,1,0,5,0,0,0,0,0,-,0,0,0,-
576,김선빈,KIA,3루수,1,0,3,0,0,0,0,0,-,0,0,0,-
576,박정우,KIA,우익수,1,1,9,0,0,3,0,0,1.000,0,0,0,-
576,이우성,KIA,좌익수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
576,김동혁,롯데,중견수,1,0,1,1,0,0,0,0,0.000,0,0,0,-
576,김진욱,롯데,투수,1,1,4 1/3,0,0,0,0,0,-,0,0,0,-
576,레이예스,롯데,중견수,1,0,2,0,0,2,0,0,1.000,0,0,0,-
576,오선진,롯데,유격수,1,0,2,0,0,0,1,0,1.000,0,0,0,-
576,이민석,롯데,투수,1,1,3 1/3,0,0,0,0,0,-,0,0,0,-
576,이선우,롯데,중견수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
576,정현수,롯데,투수,1,0,0,0,0,0,0,0,-,0,0,0,-
576,정훈,롯데,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
576,강한울,삼성,1루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
576,김성윤,삼성,좌익수,1,1,8,0,0,3,0,0,1.000,0,0,0,-
576,김영웅,삼성,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,김재상,삼성,유격수,1,0,1,0,0,0,2,0,1.000,0,0,0,-
576,김재성,삼성,1루수,1,1,5,1,0,3,0,1,0.750,0,0,0,-
576,김재혁,삼성,좌익수,1,1,8,0,0,3,0,0,1.000,0,0,0,-
576,김호진,삼성,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,김호진,삼성,2루수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
576,안주형,삼성,유격수,1,0,2,0,0,0,1,0,1.000,0,0,0,-
576,장필준,삼성,투수,1,0,1/3,0,0,0,0,0,-,0,0,0,-
576,홍정우,삼성,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,김인환,한화,1루수,1,1,6,1,0,3,1,0,0.800,0,0,0,-
576,문현빈,한화,유격수,1,0,2,0,0,2,0,1,1.000,0,0,0,-
576,배민서,한화,투수,1,0,1 2/3,0,0,0,0,0,-,0,0,0,-
576,유로결,한화,좌익수,1,1,5,0,0,1,0,0,1.000,0,0,0,-
576,유로결,한화,우익수,1,0,2,0,0,0,0,0,-,0,0,0,-
576,이도윤,한화,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,이명기,한화,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,이명기,한화,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,이상혁,한화,중견수,1,0,3,0,0,0,0,0,-,0,0,0,-
576,이상혁,한화,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,장진혁,한화,좌익수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
576,하주석,한화,3루수,1,0,1,0,0,0,1,0,1.000,0,0,0,-
576,황영묵,한화,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
576,김태진,키움,좌익수,1,1,7,0,0,2,0,0,1.000,0,0,0,-
576,박수종,키움,우익수,1,0,2,0,0,0,0,0,-,0,0,0,-
576,박승주,키움,투수,1,0,2,0,0,0,0,0,-,0,0,0,-
576,송지후,키움,2루수,1,0,3,0,0,0,0,0,-,0,0,0,-
576,이주형,키움,우익수,1,1,5,0,0,2,0,0,1.000,0,0,0,-
576,임병욱,키움,우익수,1,0,3,0,0,1,0,0,1.000,0,0,0,-
